RNA,Locus
XM_036971430.1,LOC110488159
XM_021560251.2,LOC110488162
XM_021559481.2,mtf
XM_021559482.2,mtf
NM_001124492.1,annotated by transcript or proteomic data
XM_021560252.2,LOC110488163
XM_036970890.1,LOC110489411
XM_036970891.1,LOC110489411
XM_021562124.2,LOC110489411
XM_036970888.1,LOC110489411
XM_036970889.1,LOC110489411
XM_036970869.1,LOC110488164
XM_021560254.2,LOC110488164
XM_021560253.2,LOC110488164
XM_036970866.1,LOC110488166
XM_036970867.1,LOC110488166
XM_036970865.1,LOC110488166
XM_036970868.1,LOC110488166
XM_021560256.2,LOC110488167
XM_036971853.1,LOC118946545
XM_021560257.2,LOC110488168
XM_021560258.2,LOC110488169
XR_002468362.2,LOC110488171
XR_002468363.2,LOC110488171
XR_002468364.2,LOC110488171
XR_002468365.2,LOC110488171
XR_005041426.1,LOC118946555
XR_005041430.1,LOC118946559
XR_005041429.1,LOC118946558
XR_005041431.1,LOC118946560
XM_021560259.1,LOC110488170
XR_005041424.1,LOC118946553
XM_021560260.2,LOC110488172
XM_021560261.2,LOC110488172
XM_036971062.1,LOC110488172
XM_036971064.1,LOC110488172
XM_036971063.1,LOC110488172
XM_021560264.2,LOC110488172
XM_021560262.2,LOC110488172
XM_021560263.2,LOC110488172
XM_021560265.2,LOC110488172
XM_036970736.1,LOC110489412
XM_036970735.1,LOC110489412
XM_036970740.1,LOC110489412
XM_036970737.1,LOC110489412
XM_036970738.1,LOC110489412
XM_036970739.1,LOC110489412
XM_036970741.1,LOC110489412
XM_036970742.1,LOC110489412
XM_036970743.1,LOC110489412
XM_036970744.1,LOC110489412
XM_021560267.2,LOC110488174
XM_021560268.2,LOC110488175
XR_002468367.2,LOC110488176
XM_036971635.1,LOC118946515
XM_036971634.1,LOC118946515
XM_036971633.1,LOC118946515
XM_036971636.1,LOC118946515
XM_036971637.1,LOC118946515
XM_036971612.1,LOC110488177
XM_036971611.1,LOC110488177
XM_036971610.1,LOC110488177
XM_036971613.1,LOC110488177
XM_036971614.1,LOC110488177
XM_036971617.1,LOC118946509
XM_036971616.1,LOC118946509
XM_036971615.1,LOC118946509
XM_036971618.1,LOC118946509
XM_036971619.1,LOC118946509
XM_036971854.1,LOC118946546
XM_036971648.1,LOC118946516
XM_021560271.2,serinc2
XR_005041322.1,LOC110488179
XM_036971172.1,LOC110488179
XM_021560273.2,LOC110488180
XM_036970951.1,LOC110488181
XM_021560278.2,LOC110488181
XM_021560275.2,LOC110488181
XM_021560281.2,LOC110488181
XM_021560277.2,LOC110488181
XM_036970954.1,LOC110488181
XM_036970950.1,LOC110488181
XM_036970953.1,LOC110488181
XM_036970949.1,LOC110488181
XM_021560279.2,LOC110488181
XM_036970952.1,LOC110488181
XM_021560274.2,LOC110488181
XM_036970947.1,LOC110488181
XM_021560280.2,LOC110488181
XM_021560282.2,LOC110488182
XM_021560283.2,LOC110488183
XM_036970981.1,zdhhc18b
XM_036971647.1,LOC110488185
XM_036971646.1,LOC110488185
XM_036971645.1,LOC110488185
NM_001164070.1,26687789
XM_036971315.1,LOC110488186
XM_021560291.2,LOC110488188
XR_005041331.1,LOC110488187
XM_036971336.1,LOC110488187
XM_021560290.2,LOC110488187
XM_021560289.2,LOC110488187
XM_021560292.2,LOC110488189
XM_021560293.2,LOC110488190
XM_021560295.2,LOC110488191
XM_021560296.2,LOC110488192
XM_021560297.2,LOC110488192
XM_021560298.2,LOC110488192
XM_021560300.2,LOC110488193
XM_021560299.2,LOC110488193
XR_005041280.1,LOC110489414
XM_036970672.1,LOC110489414
XM_036970674.1,LOC110489414
XM_036970673.1,LOC110489414
XM_036970675.1,LOC110489414
XM_021560301.2,LOC110488194
XM_036971324.1,LOC118946485
XM_036970931.1,LOC110488195
XM_036970932.1,LOC110488195
XM_021560305.2,LOC110488196
XM_021560306.2,LOC110488196
XM_036971567.1,LOC110489415
XM_036971449.1,LOC110489416
XM_036971448.1,LOC110489416
XM_036971447.1,LOC110489416
XM_036971446.1,LOC110489416
XR_005041346.1,LOC118946492
XM_036971193.1,LOC110488197
XM_036971192.1,LOC110488197
XM_036971194.1,LOC110488197
XM_021560309.2,parp10
XM_036971196.1,LOC110488198
XM_036971195.1,LOC110488198
XM_036971198.1,LOC110488198
XM_036971197.1,LOC110488198
XM_021560313.2,LOC110488201
XM_021560312.2,LOC110488201
XM_036971042.1,LOC110488200
XM_021560310.2,LOC110488200
XM_036971041.1,LOC110488200
XM_021560318.2,kcng2
XM_036971389.1,kcng2
XM_021560317.2,kcng2
XM_021560319.2,slc66a2
XM_021560320.2,slc66a2
XM_021560322.2,LOC110488207
XM_036970615.1,LOC110488207
XR_005041277.1,txn4a
NM_001246325.1,annotated by transcript or proteomic data
XM_036970611.1,LOC118946452
XM_036970614.1,LOC118946452
XM_036970613.1,LOC118946452
XM_036970612.1,LOC118946452
XM_036970610.1,LOC110488202
XM_021560315.2,LOC110488202
XM_021560316.2,LOC110488202
XM_021559500.2,ntf2
XM_036970589.1,ntf2
XM_036970590.1,ntf2
NM_001165186.1,annotated by transcript or proteomic data
XM_021560324.2,bloc1s4
XM_021560325.2,LOC110488209
XR_005041416.1,LOC110488210
XR_005041415.1,LOC110488210
XM_036971818.1,LOC110488210
XM_021560327.2,LOC110488211
XM_021560329.2,LOC110488212
XM_021560331.2,LOC110488213
XM_021560335.2,LOC110488215
XM_021560334.2,LOC110488214
XM_021560336.2,LOC110488216
XM_021560337.2,LOC110488217
XR_005041427.1,LOC118946556
XM_021560340.2,LOC110488218
XM_021560338.2,LOC110488218
XM_021560341.2,LOC110488218
XM_021560345.2,LOC110488220
XM_021560348.2,LOC110488220
XM_021560352.2,LOC110488220
XM_021560350.2,LOC110488220
XM_021560344.2,LOC110488220
XM_021560346.2,LOC110488220
XM_021560351.2,LOC110488220
XM_021560349.2,LOC110488220
XM_036971836.1,LOC110488222
XM_036971838.1,LOC110488222
XM_036971835.1,LOC110488222
XM_036971840.1,LOC110488222
XM_036971841.1,LOC110488222
XM_036971839.1,LOC110488222
XM_021560357.2,LOC110488223
XM_021560358.2,LOC110488223
XM_021560356.2,LOC110488223
XM_021560354.2,LOC110488223
XM_036970818.1,LOC110489419
XM_036970819.1,LOC110489419
NM_001160656.1,annotated by transcript or proteomic data
XR_005041418.1,LOC118946547
XM_036970997.1,LOC110489420
XM_021560359.2,LOC110488224
XM_021560360.2,LOC110488225
XM_021560361.2,LOC110488225
XM_021560362.2,LOC110488226
XM_021560364.2,LOC110488226
XM_021560363.2,LOC110488226
XM_021560365.2,LOC110488226
XM_036971527.1,LOC110488226
XM_021560366.2,LOC110488228
XM_021560367.2,LOC110488229
XM_021560369.2,LOC110488230
XM_036970998.1,LOC118946464
XR_002468369.2,LOC110488231
XM_021560372.2,LOC110488232
XM_021560370.2,LOC110488232
XM_021560371.2,LOC110488232
XM_021560373.2,LOC110488232
XM_021560374.2,LOC110488232
XM_021560375.2,LOC110488233
XM_036970813.1,LOC110488235
XM_036970812.1,LOC110488235
XM_036970814.1,LOC110488235
XM_021560377.2,LOC110488235
XM_021560379.2,mrpl9
XM_021560380.2,si:dkey-266f7.9
XM_021560381.2,LOC110488238
XM_021560382.2,LOC110488239
XM_021560383.2,LOC110488239
XM_021560385.2,LOC110488239
XM_021560395.2,LOC110488242
XM_021560391.2,LOC110488241
XM_021560393.2,LOC110488241
XM_021560392.2,LOC110488241
XM_021560388.2,LOC110488241
XM_021560394.2,LOC110488241
XM_021560390.2,LOC110488241
XM_021560387.2,LOC110488241
XM_021560386.2,LOC110488241
XR_002468371.2,LOC110488243
XM_021560396.2,LOC110488243
XM_036971335.1,LOC110488244
XM_021560397.2,LOC110488244
XM_036971688.1,mRNA
XM_036970999.1,LOC118946465
XM_036971564.1,mRNA
XM_036971699.1,mRNA
XM_036971565.1,mRNA
XM_036971000.1,LOC110489425
XM_021560400.2,LOC110488251
XM_036971349.1,LOC110488252
XM_021560401.2,LOC110488252
XM_021560402.2,LOC110488252
XM_036971350.1,LOC110488252
XM_021560403.2,LOC110488253
XM_036971342.1,LOC110488254
XM_021562151.2,LOC110489445
XM_021593862.2,LOC110514499
XM_021562139.2,LOC110517423
XM_036971001.1,LOC110488255
XM_036971002.1,LOC110488258
XM_021560406.2,msto1
XM_021560411.2,tmem79a
XM_036971784.1,LOC110488259
XM_036971780.1,LOC110488259
XM_036971783.1,LOC110488259
XM_021560409.2,LOC110488259
XM_036971782.1,LOC110488259
XM_036971781.1,LOC110488259
XM_021560408.2,LOC110488259
XR_005041319.1,LOC118946481
XM_036971024.1,LOC110489431
XM_036971026.1,LOC110489431
XM_021560413.2,mrpl24
XM_021560414.2,mrpl24
XM_021560417.2,LOC110488263
XM_021560419.2,LOC110488263
XM_021560416.1,LOC110488263
XM_021560420.1,LOC110488263
XM_021560415.1,LOC110488263
XM_021560418.2,LOC110488263
XM_036970975.1,LOC110488270
XM_021560426.2,LOC110488269
XM_021560422.2,LOC110488266
XM_021560423.2,LOC110488267
XM_021560424.2,LOC110488267
XM_036971543.1,LOC110488271
XM_036971544.1,LOC110488271
XM_036971542.1,LOC110488271
XM_021560428.2,LOC110488271
XM_021560431.2,LOC110488271
XM_021560432.2,LOC110488272
XM_021560433.2,LOC110488273
XM_036971560.1,LOC110488274
XM_021560434.2,LOC110488274
XM_036971561.1,LOC110488274
XM_021560435.2,LOC110488275
XM_036970957.1,LOC110488280
XM_021560445.2,LOC110488280
XM_036970960.1,LOC110488280
XM_021560444.2,LOC110488280
XM_021560459.2,LOC110488289
XM_036970963.1,LOC110488289
XM_021560453.2,LOC110488286
XM_036970961.1,LOC110488286
XM_036970962.1,LOC110488286
XM_021560451.2,LOC110488285
XM_036971178.1,LOC110488285
XM_036971177.1,LOC110488285
XM_021560440.2,LOC110488277
XM_021560441.2,LOC110488277
XM_036970964.1,LOC110488277
XM_036971856.1,LOC110488278
XM_036971858.1,LOC110488278
XM_036971857.1,LOC110488278
XM_036971859.1,LOC110488278
XM_021560439.2,LOC110488276
XM_021560436.2,LOC110488276
XM_036971861.1,LOC110488276
XM_036971860.1,LOC110488276
XM_021560448.2,LOC110488283
XM_036971463.1,LOC110488283
XM_021560447.2,LOC110488282
XM_021560449.2,glmp
XM_021560450.2,glmp
XM_021560443.2,LOC110488279
XM_036971248.1,LOC118946484
XM_036971247.1,LOC118946484
XM_036971249.1,LOC118946484
XM_021560462.2,si:ch211-191i18.4
XM_021560460.2,LOC110488290
XM_021560455.2,LOC110488287
XM_036971632.1,plekho1a
XM_021560464.2,LOC110488294
XM_021560466.2,LOC110488295
XM_021560465.2,LOC110488295
NM_001124307.1,annotated by transcript or proteomic data
XM_036971225.1,LOC110488296
XM_021560467.2,LOC110488296
XM_021560470.2,LOC110488296
XM_036971227.1,LOC110488296
XM_021560472.2,LOC110488297
XM_036971687.1,mindy1
XM_036971686.1,mindy1
XM_021560473.2,mindy1
XM_021560474.2,LOC110488300
XM_036971179.1,LOC110488300
XM_021560476.2,LOC110488301
XM_021560489.2,LOC110488303
XM_021560484.2,LOC110488303
XM_021560488.2,LOC110488303
XM_021560487.2,LOC110488303
XM_021560485.2,LOC110488303
XM_036970758.1,LOC110488303
XM_021560490.2,LOC110488305
XM_021560491.2,LOC110488305
XM_021560493.2,LOC110488305
XM_021560478.2,LOC110488302
XM_021560481.2,LOC110488302
XM_021560483.2,LOC110488302
XM_021560482.2,LOC110488302
XM_021560479.2,LOC110488302
XM_021560480.2,LOC110488302
XR_002468386.2,LOC110488306
XM_021560495.2,LOC110488307
XM_036971698.1,LOC110488308
XM_036971695.1,LOC110488308
XM_036971696.1,LOC110488308
XM_036971697.1,LOC110488308
XM_021562152.2,LOC110489447
XM_021562155.2,LOC110489447
XR_005041401.1,LOC118946529
XM_036971003.1,LOC118946466
XM_036971004.1,LOC110488310
XR_005041295.1,LOC118946461
XM_021560497.2,LOC110488309
XM_021560502.2,LOC110488312
XM_021560504.2,LOC110488313
XM_021560512.2,unclassified transcription discrepancy
XM_036970919.1,LOC110488314
XM_036970920.1,LOC110488314
XM_036970921.1,LOC110488314
XM_036970918.1,LOC110488314
XM_036970917.1,LOC110488314
XR_005041403.1,LOC118946530
XM_036970877.1,LOC110488317
XM_021560516.2,LOC110488318
XM_021560515.2,LOC110488318
XM_021560514.2,LOC110488318
XM_021560518.2,LOC110488319
XR_005041389.1,LOC110488320
XM_036970677.1,LOC110488321
XM_036970678.1,LOC110488321
XM_036970676.1,LOC110488321
XM_021560523.2,LOC110488322
XM_021560521.2,LOC110488322
XM_021560522.2,LOC110488322
XM_021560524.2,LOC110488322
XM_021560520.2,LOC110488322
XM_036970754.1,LOC110489432
XM_036970756.1,LOC110489432
XM_036970753.1,LOC110489432
XM_036970755.1,LOC110489432
XM_036970757.1,LOC110489432
XM_021560526.2,LOC110488323
XM_021560527.2,LOC110488324
XR_005041299.1,LOC110487589
XR_005041300.1,LOC110487589
XR_005041301.1,LOC110487589
XR_005041302.1,LOC110487589
XM_036970989.1,LOC110487589
XM_036970990.1,LOC110487589
XM_021560528.2,LOC110488325
XM_021560529.2,LOC110488326
XM_036971766.1,LOC110488327
XM_021560530.2,LOC110488327
XM_021560532.2,LOC110488328
XM_021560531.2,LOC110488328
XM_021560536.2,LOC110488332
XM_036971769.1,LOC110488332
XM_021560534.2,LOC110488332
XM_021560533.2,LOC110488329
XM_036971200.1,LOC110487591
XM_036971199.1,LOC110487591
trnaa,tRNA
XM_036971220.1,LOC110488334
XM_036971218.1,LOC110488334
XM_036971221.1,LOC110488334
XM_036971219.1,LOC110488334
XM_036971223.1,LOC110488334
XM_036971224.1,LOC110488334
XM_036971222.1,LOC110488334
XM_021560540.2,LOC110488334
XM_021560543.2,LOC110488335
XM_021560545.2,LOC110488335
XM_036971559.1,LOC110488335
XM_021560544.2,LOC110488335
XM_021559475.2,LOC100136003
NM_001124338.1,annotated by transcript or proteomic data
XM_021559476.2,LOC100136003
XM_036970581.1,LOC100136003
XM_036971620.1,LOC110488337
XM_036971622.1,LOC110488337
XM_036971623.1,LOC110488337
XM_036971621.1,LOC110488337
XR_005041386.1,LOC118946511
XM_021560550.2,LOC110488339
XM_021560549.2,LOC110488338
XM_021560551.2,LOC110488340
XM_021560552.2,LOC110488341
XM_036971065.1,LOC110488341
XR_005041407.1,LOC118946532
XR_005041406.1,LOC118946532
XM_036971005.1,LOC118946467
XM_036971006.1,LOC110487593
XM_036971710.1,LOC110488342
XM_036971700.1,LOC110488342
XM_036971703.1,LOC110488342
XM_036971701.1,LOC110488342
XM_036971705.1,LOC110488342
XM_036971702.1,LOC110488342
XM_036971704.1,LOC110488342
XM_036971706.1,LOC110488342
XM_036971708.1,LOC110488342
XM_036971707.1,LOC110488342
XM_036971709.1,LOC110488342
XM_036970721.1,LOC110487595
XM_036970722.1,LOC110487595
XM_036970724.1,LOC110487595
XM_036970725.1,LOC110487595
XM_036970723.1,LOC110487595
XM_036970726.1,LOC110487595
XM_036970727.1,LOC110487595
XM_036970728.1,LOC110487595
XM_021560556.2,hsd17b8
XM_021560559.2,brd2a
XM_036970729.1,brd2a
XM_021560562.2,brd2a
XM_021560563.2,brd2a
XM_021560561.2,brd2a
XM_021560560.2,brd2a
XM_021560558.2,brd2a
XM_021560557.2,brd2a
XM_021560565.2,LOC110488345
XM_021560569.2,psmb9a
XM_021560570.2,psmb12
XM_021560566.2,psmb13a
XM_036971394.1,psmb13a
XM_021560567.2,psmb13a
XM_021560568.2,psmb8a
XM_036971396.1,LOC110488352
XM_036971397.1,LOC110488352
XM_021560572.2,LOC110488352
XM_021560574.2,LOC110488353
XM_021560576.2,LOC100136325
XR_005041339.1,LOC110488354
XM_036971398.1,LOC110488354
XM_021560578.2,LOC110488355
XM_021560579.2,LOC110488355
XM_021560582.2,LOC110488357
XM_021560581.2,LOC110488357
XM_021560580.2,LOC110488357
XM_036970899.1,LOC110488359
XM_036970904.1,LOC110488359
XM_036970905.1,LOC110488359
XM_036970906.1,LOC110488359
XM_021560583.2,LOC110488359
XM_036970903.1,LOC110488359
XM_021560586.2,LOC110488359
XM_036970902.1,LOC110488359
XM_036970901.1,LOC110488359
XM_036970900.1,LOC110488359
XM_021560588.2,LOC110488361
XM_021560590.2,LOC110488363
XM_036970907.1,LOC110488362
XM_021560592.2,LOC110488364
XM_036970682.1,LOC110488365
XM_021560594.2,LOC110488365
XM_036970872.1,LOC110488366
XM_036970874.1,LOC110488366
XM_036970873.1,LOC110488366
XM_036970875.1,LOC110488366
XM_036971337.1,LOC110488367
XM_036971338.1,LOC110488367
XM_036971339.1,LOC110488367
XM_021560597.2,LOC110488368
XM_036970686.1,LOC110488369
XM_036970687.1,LOC110488369
XM_021560601.2,LOC110488370
XR_005041291.1,LOC118946458
XM_036970887.1,LOC110488371
XM_021560602.2,LOC110488371
XM_021560603.2,LOC110488371
XM_036971159.1,LOC110487597
XM_036971161.1,LOC110487597
XM_036971160.1,LOC110487597
XM_021560604.2,LOC110488372
XM_036971691.1,LOC110488373
XM_021560606.2,LOC110488374
XM_036970731.1,LOC110488376
XM_036970732.1,LOC110488376
XM_036970733.1,LOC110488376
XM_021560609.2,LOC110488377
XM_036970762.1,LOC110487599
XM_036970764.1,LOC110487599
XM_036970777.1,LOC110487599
XM_036970778.1,LOC110487599
XM_036970766.1,LOC110487599
XM_036970765.1,LOC110487599
XM_036970768.1,LOC110487599
XM_036970767.1,LOC110487599
XM_036970772.1,LOC110487599
XM_036970771.1,LOC110487599
XM_036970774.1,LOC110487599
XM_036970779.1,LOC110487599
XM_036970763.1,LOC110487599
XM_036970773.1,LOC110487599
XM_036970780.1,LOC110487599
XM_036970775.1,LOC110487599
XM_036970769.1,LOC110487599
XM_036970776.1,LOC110487599
XM_036970782.1,LOC110487599
XR_002468553.2,LOC110489333
XM_036971007.1,LOC110512058
XM_021561940.2,LOC110489266
XM_021562055.2,LOC110489327
XM_036970645.1,LOC110489274
XM_036970646.1,LOC110489274
XM_036970643.1,LOC110489274
XM_036970644.1,LOC110489274
XM_036970647.1,LOC110489274
XM_021562009.2,LOC110489300
XM_021562034.2,LOC110489314
XM_021562035.2,LOC110489314
XM_036971334.1,LOC110489314
XM_021561986.2,LOC110489288
XM_021561987.2,LOC110489288
XM_021561984.2,LOC110489288
XM_021561989.2,LOC110489288
XM_021561988.2,LOC110489288
XM_036971629.1,LOC110489263
XM_021561991.2,LOC110489290
XM_021561925.2,LOC110489262
XM_021561926.2,LOC110489262
XM_021561966.2,LOC110489278
XM_021561965.2,LOC110489278
XM_036971526.1,LOC110489328
XM_021562057.2,LOC110489328
XM_036970871.1,LOC110489323
XM_021562021.2,LOC110489308
XM_021562020.2,LOC110489308
XM_036971469.1,LOC110489292
XM_036971467.1,LOC110489292
XM_036971468.1,LOC110489292
XM_036971316.1,LOC110489301
XM_036971228.1,LOC110487602
XM_036970639.1,LOC110489295
XM_021561907.2,LOC110489256
XM_036970641.1,LOC110487603
XM_036970642.1,LOC110487603
XM_036970640.1,LOC110487603
XM_021561916.2,LOC110489260
XM_021561917.2,LOC110489260
XM_021561921.2,LOC110489260
XM_021561918.2,LOC110489260
XM_021561920.2,LOC110489260
XM_021561919.2,LOC110489260
XM_021561922.2,LOC110489260
XR_005041327.1,LOC110489283
XM_036971266.1,LOC110489283
XM_021561999.2,LOC110489294
XM_021562000.2,LOC110489294
XM_021561998.2,LOC110489294
XM_036971476.1,LOC110489296
XM_036971481.1,LOC110489296
XM_021562004.2,LOC110489296
XM_036971480.1,LOC110489296
XM_036971479.1,LOC110489296
XM_036971478.1,LOC110489296
XM_036971477.1,LOC110489296
XM_036971358.1,LOC110489272
XM_036971362.1,LOC110489272
XM_036971360.1,LOC110489272
XM_036971361.1,LOC110489272
XM_036971363.1,LOC110489272
XM_036971359.1,LOC110489272
XM_036971357.1,LOC110489272
XM_036971364.1,LOC110489272
XM_021562029.2,LOC110489311
XM_021562030.2,LOC110489311
XM_036971661.1,LOC110489291
XM_021561993.2,LOC110489291
XM_021561992.2,LOC110489291
XM_036971008.1,LOC118946468
XM_021561983.2,si:ch211-171h4.5
XM_021561982.2,si:ch211-171h4.5
XM_021561981.2,si:ch211-171h4.5
XM_021562007.2,LOC110489298
XR_002468550.2,LOC110489330
XM_021562058.2,LOC110489330
XM_036971690.1,LOC110489302
XR_002468549.2,LOC110489317
XM_021562041.2,LOC110489317
XM_021562040.2,LOC110489317
XM_021562042.2,LOC110489317
XM_036971070.1,LOC110489267
XM_036971068.1,LOC110489267
NM_001165116.2,ndus5
XM_036971072.1,LOC110487604
XM_036971087.1,LOC110487604
XM_036971081.1,LOC110487604
XM_036971082.1,LOC110487604
XM_036971074.1,LOC110487604
XM_036971076.1,LOC110487604
XM_036971078.1,LOC110487604
XM_036971083.1,LOC110487604
XM_036971094.1,LOC110487604
XM_036971077.1,LOC110487604
XM_036971079.1,LOC110487604
XM_036971073.1,LOC110487604
XM_036971098.1,LOC110487604
XM_036971084.1,LOC110487604
XM_036971101.1,LOC110487604
XM_036971100.1,LOC110487604
XM_036971102.1,LOC110487604
XM_036971080.1,LOC110487604
XM_036971088.1,LOC110487604
XM_036971090.1,LOC110487604
XM_036971093.1,LOC110487604
XM_036971103.1,LOC110487604
XM_036971105.1,LOC110487604
XM_036971099.1,LOC110487604
XM_036971104.1,LOC110487604
XM_036971106.1,LOC110487604
XM_036971107.1,LOC110487604
XM_036971085.1,LOC110487604
XM_036971091.1,LOC110487604
XM_036971095.1,LOC110487604
XM_036971089.1,LOC110487604
XM_036971092.1,LOC110487604
XM_036971096.1,LOC110487604
XM_021561977.2,LOC110489282
XM_036971143.1,LOC110516824
XM_036971140.1,LOC110516824
XM_036971138.1,LOC110516824
XM_036971141.1,LOC110516824
XM_036971139.1,LOC110516824
XR_005041314.1,LOC110512057
XM_036971137.1,LOC118946475
XM_036971135.1,LOC118946475
XM_036971133.1,LOC118946475
XM_036971136.1,LOC118946475
XM_036971134.1,LOC118946475
XR_002468551.2,LOC110489331
XM_036971146.1,LOC110489289
XM_036971147.1,LOC110489289
XM_036971144.1,LOC110489289
XM_036971145.1,LOC110489289
XR_005041313.1,LOC118946476
XM_036971151.1,LOC118936619
XM_036971150.1,LOC118936619
XM_036971152.1,LOC118936619
XM_036971148.1,LOC118936619
XM_036971149.1,LOC118936619
XM_036971119.1,LOC118946473
XM_036971118.1,LOC118946473
XM_036971116.1,LOC118946473
XM_036971120.1,LOC118946473
XM_036971117.1,LOC118946473
XM_036971130.1,LOC118946474
XM_036971129.1,LOC118946474
XM_036971131.1,LOC118946474
XM_036971127.1,LOC118946474
XM_036971128.1,LOC118946474
XR_005041316.1,LOC118946478
XM_036971125.1,LOC110489319
XM_036971124.1,LOC110489319
XM_036971121.1,LOC110489319
XM_036971126.1,LOC110489319
XM_036971123.1,LOC110489319
XR_005041315.1,LOC118946477
XM_036971111.1,LOC110489255
XM_036971110.1,LOC110489255
XR_005041310.1,LOC110489271
XR_005041312.1,LOC110489271
XR_005041311.1,LOC110489271
XR_002468544.2,LOC110489271
XR_002468545.2,LOC110489271
XM_036971114.1,LOC110489271
XM_036971113.1,LOC110489271
XM_021561947.2,LOC110489271
XM_036971109.1,LOC110489254
XM_036971112.1,LOC118936453
XM_036971071.1,LOC110489253
XM_021562024.2,LOC110489310
XM_021562025.2,LOC110489310
XM_021562026.2,LOC110489310
XM_021562027.2,LOC110489310
XM_036970822.1,LOC110489310
XR_005041285.1,LOC118946455
XM_036970823.1,LOC118946455
XM_021561945.2,LOC110489270
XM_021561944.2,LOC110489268
XM_021561943.2,LOC110489268
XM_021561942.2,LOC110489268
XM_021562053.2,LOC110489326
XM_021561960.2,LOC110489275
XM_021561958.2,LOC110489275
XM_021561980.2,LOC110489285
NM_001124339.1,annotated by transcript or proteomic data
XM_036971723.1,LOC110489279
XM_021561968.2,LOC110489279
XM_036971721.1,LOC110489279
XM_021561969.2,LOC110489279
XM_036971722.1,LOC110489279
XM_021562008.2,LOC110489299
XM_021561979.2,LOC110489284
XM_036971718.1,LOC110489259
XM_036971716.1,LOC110489259
XM_036971717.1,LOC110489259
XM_036971719.1,LOC110489259
XM_036971720.1,LOC110489259
XM_021561938.2,ncdn
XM_021561939.2,ncdn
XM_021561971.2,LOC110489281
XM_021561972.2,LOC110489281
XM_021561974.2,LOC110489281
XM_021561975.2,LOC110489281
XM_021562048.2,psmb2
XM_036971649.1,LOC110489305
XM_021562017.2,LOC110489305
XM_021562016.2,LOC110489305
XM_036971205.1,LOC110489257
XM_036971204.1,LOC110489257
XM_036971203.1,LOC110489257
XM_036971202.1,LOC110489257
XM_021561911.2,LOC110489257
XM_036971206.1,LOC110489257
XM_021561908.2,LOC110489257
XM_021561910.2,LOC110489257
XM_036971771.1,ago4
XM_036971773.1,ago4
XM_036971776.1,ago4
XM_036971777.1,ago4
XM_036971774.1,ago4
XM_036971775.1,ago4
XM_036971778.1,ago4
XM_036971772.1,ago4
XM_036971779.1,ago4
XR_005041419.1,LOC118946548
XM_021562043.2,LOC110489318
XM_021562050.2,c19h1orf109
XM_021562023.2,LOC110489309
XM_021562022.2,LOC110489309
XM_036971408.1,LOC110487605
XR_002468391.2,LOC110488378
XR_002468392.2,LOC110488378
XM_036971201.1,LOC110488379
XM_036971425.1,LOC110511601
XM_036971424.1,LOC110511601
XM_036971426.1,LOC110511601
XM_036971163.1,LOC110488383
XM_036971164.1,LOC110488383
XR_002468396.2,LOC110488402
XR_005041396.1,LOC118946521
XM_036971571.1,LOC110518543
XM_036970808.1,LOC110488385
XM_036970806.1,LOC110488385
XM_036970807.1,LOC110488385
XM_036970811.1,LOC110488385
XM_036970809.1,LOC110488385
XR_002468393.2,LOC110488381
XR_005041328.1,LOC110488381
XM_036971303.1,LOC110489313
XM_036971302.1,LOC110489313
XM_021562032.2,LOC110489313
XR_002468559.2,LOC110489338
XM_036971809.1,LOC110487617
XM_036970923.1,LOC110487626
XM_036970922.1,LOC110487626
XM_036970925.1,LOC110487626
XM_036970924.1,LOC110487626
XM_036971009.1,LOC110487625
XM_036971040.1,LOC110488401
XM_036971038.1,LOC110488401
XM_036971039.1,LOC110488401
XM_036971037.1,LOC110487634
XM_036971233.1,LOC110488406
XM_036971232.1,LOC110488406
XM_036970987.1,LOC110488409
XM_036970986.1,LOC110488409
XM_021560636.2,si:ch211-153f2.3
XR_002468554.2,LOC110489334
XM_036970760.1,LOC110489277
XM_021560640.2,utp23
XR_005041307.1,LOC110487637
XM_036971050.1,LOC110487637
XM_036971049.1,LOC110487637
XM_036971051.1,LOC110487637
XM_036971365.1,LOC110488517
XM_021560743.2,LOC110488515
XM_036971010.1,LOC110489276
XM_036970979.1,LOC110487610
XM_036970978.1,LOC110487610
XM_036970980.1,LOC110487610
XM_036970976.1,LOC110515118
XM_036970977.1,LOC110515118
XM_036971465.1,LOC110489316
XM_036971758.1,LOC110488415
XM_036971754.1,LOC110488415
XM_036971761.1,LOC110488415
XM_036971756.1,LOC110488415
XM_036971759.1,LOC110488415
XM_036971755.1,LOC110488415
XM_036971757.1,LOC110488415
XM_036971753.1,LOC110488415
XM_036971760.1,LOC110488415
XM_036971763.1,neu1
XM_036971764.1,neu1
XM_036971665.1,LOC110487638
XM_036971666.1,LOC110487638
XM_036971664.1,LOC110487638
XM_036971667.1,LOC110487638
XM_036971229.1,LOC110488421
XM_036971230.1,LOC110488421
XM_036971217.1,LOC110514094
XM_021560647.2,LOC110488425
XR_005041405.1,LOC118946531
XR_005041404.1,LOC118946531
XM_036971737.1,LOC118946531
XM_036970909.1,LOC110488468
XM_036970910.1,LOC110488468
XM_036970911.1,LOC110488468
XR_005041293.1,LOC110512153
XM_036970913.1,LOC110488496
XM_036970915.1,LOC110488496
XM_036970912.1,LOC110488496
XM_036970914.1,LOC110488496
